2022.05.30 10:51:03 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
2022.05.30 10:51:03 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2022.05.30 10:51:03 INFO  web[][o.s.s.e.IndexCreator] Create index [views]
2022.05.30 10:51:04 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2022.05.30 10:51:04 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AYETaQQ5CLRvbzj0t_xn
2022.05.30 10:51:04 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketcloud_repos
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_organizations
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_repositories
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/get_github_client_id
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/get_binding
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/list
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/list_definitions
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/count_binding
2022.05.30 10:51:05 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/validate
2022.05.30 10:51:05 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.05.30 10:51:05 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.05.30 10:51:05 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2022.05.30 10:51:05 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2022.05.30 10:51:05 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.05.30 10:51:05 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.05.30 10:51:05 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2022.05.30 10:51:05 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2022.05.30 10:51:05 INFO  web[][o.s.s.r.RegisterRules] Register rules
2022.05.30 10:51:30 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2022.05.30 10:51:31 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2022.05.30 10:51:31 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2022.05.30 10:51:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2022.05.30 10:51:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2022.05.30 10:51:35 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.05.30 10:51:35 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@5ce8deeb [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@393f037e [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@2c0e323 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@68adecb9 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@18d67d4b [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@5e20e5cf [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@5a43bca7 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@38525fbe [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@264a482c [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@5e5182a6 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@6d0dabf7 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user]...
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=283ms
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component]...
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] done | time=65ms
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view]...
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=132ms
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Trigger asynchronous indexing of type [issues/auth/issue]...
2022.05.30 10:51:35 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] 0 pending indexation task found to be deleted...
2022.05.30 10:51:35 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] 0 completed indexation task found to be deleted...
2022.05.30 10:51:35 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] Indexation task deletion complete.
2022.05.30 10:51:35 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] Deleting tasks characteristics...
2022.05.30 10:51:35 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] Tasks characteristics deletion complete.
2022.05.30 10:51:35 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] 0 branch found in need of issue sync.
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Trigger asynchronous indexing of type [issues/auth/issue] done | time=38ms
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth]...
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] done | time=86ms
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure]...
2022.05.30 10:51:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] done | time=84ms
2022.05.30 10:51:35 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is enabled.
2022.05.30 10:51:35 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.05.30 10:51:35 INFO  web[][o.s.s.p.Platform] WebServer is operational
2022.05.30 10:51:36 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning will be disabled as there are no more projects in warning.
